BCBS_Hospital_Name,BCBS_State,BCBS_Designation,BCBS_Page,BCBS_Source_Row,BCBS_Normalized_Name
Cleveland Clinic Indian River Hospital,FL,BDC+,7,Cleveland Clinic Indian River Hospital | 1000 36Th St | Vero Beach | FL | 32960 | BDC+ | No | Hospital,CLEVELAND CLINIC INDIAN RIVER HOSPITAL
Cleveland Clinic Tradition Hospital,FL,BDC,8,Cleveland Clinic Tradition Hospital | 10000 SW Innovation Way | Port Saint Lucie | FL | 34987 | BDC | No | Hospital,CLEVELAND CLINIC TRADITION HOSPITAL
Delray Medical Center,FL,BDC,8,Delray Medical Center | 5352 Linton Blvd | Delray Beach | FL | 33484 | BDC | Yes | Hospital,DELRAY MED CTR
Halifax Medical Center,FL,BDC,8,Halifax Medical Center | 303 N Clyde Morris Blvd | Daytona Beach | FL | 32114 | BDC | No | Hospital,HALIFAX MED CTR
HCA Florida Blake Hospital,FL,BDC,8,HCA Florida Blake Hospital | 2020 59Th St W | Bradenton | FL | 34209 | BDC | Yes | Hospital,HCA FLORIDA BLAKE HOSPITAL
HCA Florida Fawcett Hospital,FL,BDC,8,HCA Florida Fawcett Hospital | 21298 Olean Blvd | Port Charlotte | FL | 33952 | BDC | Yes | Hospital,HCA FLORIDA FAWCETT HOSPITAL
HCA Florida Memorial Hospital,FL,BDC,8,HCA Florida Memorial Hospital | 3625 University Blvd S | Jacksonville | FL | 32216 | BDC | Yes | Hospital,HCA FLORIDA MEMORIAL HOSPITAL
HCA Florida Palms West Hospital,FL,BDC+,8,HCA Florida Palms West Hospital | 13001 Southern Blvd | Loxahatchee | FL | 33470 | BDC+ | No | Hospital,HCA FLORIDA PALMS WEST HOSPITAL
HCA FLORIDA KENDALL HOSPITAL,FL,BDC,8,HCA FLORIDA KENDALL HOSPITAL | 11750 SW 40TH ST | Miami | FL | 33175 | BDC | No | Hospital,HCA FLORIDA KENDALL HOSPITAL
HCA FLORIDA NORTHWEST HOSPITAL,FL,BDC,8,HCA FLORIDA NORTHWEST HOSPITAL | 2801 N STATE ROAD 7 | Margate | FL | 33063 | BDC | No | Hospital,HCA FLORIDA NORTHWEST HOSPITAL
HCA FLORIDA ORANGE PARK HOSPITAL,FL,BDC,8,HCA FLORIDA ORANGE PARK HOSPITAL | 2001 KINGSLEY AVE | Orange Park | FL | 32073 | BDC | No | Hospital,HCA FLORIDA ORANGE PARK HOSPITAL
Lakewood Ranch Medical Center,FL,BDC,8,Lakewood Ranch Medical Center | 8330 Lakewood Ranch Blvd | Lakewood Ranch | FL | 34202 | BDC | No | Hospital,LAKEWOOD RANCH MED CTR
Mayo Clinic Florida Hospital,FL,BDC+,8,Mayo Clinic Florida Hospital | 4500 San Pablo Rd S | Jacksonville | FL | 32224 | BDC+ | No | Hospital,MAYO CLINIC FLORIDA HOSPITAL
Mount Sinai Medical Center,FL,BDC+,8,Mount Sinai Medical Center | 4300 ALTON RD | Miami Beach | FL | 33140 | BDC+ | No | Hospital,MOUNT SINAI MED CTR
Orlando Health Central,FL,BDC,8,Orlando Health Central | 10000 W Colonial Dr | Ocoee | FL | 34761 | BDC | Yes | Hospital,ORLANDO HEALTH CENTRAL
Sarasota Memorial Hospital,FL,BDC,8,Sarasota Memorial Hospital | 1700 S Tamiami Trl | Sarasota | FL | 34239 | BDC | No | Hospital,SARASOTA MEMORIAL HOSPITAL
